Rank,Player,,,
,FW,,,
211,,0,1,146
,Juan Quintero,,,
,,,,
,COL,,,
,MF,,,
212,,0,1,155
,Alexandr Sojka,,,
,,,,
,CZE,,,
,MF,,,
213,,0,1,159
,Nico Williams,,,
,,,,
,ESP,,,
,FW,,,
214,,0,1,172
,Orkun Kokcu,,,
,,,,
,TUR,,,
,MF,,,
215,,0,1,186
,Jean Kevin Duverne,,,
,,,,
,HAI,,,
,DF,,,
216,,0,1,190
,Wilfried Singo,,,
,,,,
,CIV,,,
,DF,,,
217,,0,1,198
,Karim Hafez,,,
,,,,
,EGY,,,
,DF,,,
218,,0,1,200
,Ivan Basic,,,
,,,,
,BIH,,,
,MF,,,
219,,0,1,207
,Michael Gregoritsch,,,
,,,,
,AUT,,,
,FW,,,
220,,0,1,207
,Lucas Bergvall,,,
,,,,
,SWE,,,
,MF,,,
221,,0,1,211
,Tijjani Reijnders,,,
,,,,
,NED,,,
,MF,,,
222,,0,1,214
,Paul Okon Engstler,,,
,,,,
,AUS,,,
,MF,,,
223,,0,1,217
,Marcos Llorente,,,
,,,,
,ESP,,,
,DF,,,
224,,0,1,217
,Chemsdine Talbi,,,
,,,,
,MAR,,,
,MF,,,
225,,0,1,226
,Thomas Meunier,,,
,,,,
,BEL,,,
,DF,,,
226,,0,1,228
,Edmilson Junior,,,
,,,,
,QAT,,,
,FW,,,
227,,0,1,241
,Gonzalo Montiel,,,
,,,,
,ARG,,,
,DF,,,
228,,0,1,241
,Tim Payne,,,
,,,,
,NZL,,,
,DF,,,
229,,0,1,243
,Akmal Mozgovoy,,,
,,,,
,UZB,,,
,MF,,,
230,,0,1,247
,Eberechi Eze,,,
,,,,
,ENG,,,
,MF,,,
231,,0,1,253
,Christian Pulisic,,,
,,,,
,USA,,,
,FW,,,
232,,0,1,255
,Lucas Paqueta,,,
,,,,
,BRA,,,
,MF,,,
233,,0,1,265
,Xaver Schlager,,,
,,,,
,AUT,,,
,MF,,,
234,,0,1,271
,Nicolas Jackson,,,
,,,,
,SEN,,,
,FW,,,
235,,0,1,279
,Amir Alammari,,,
,,,,
,IRQ,,,
,MF,,,
236,,0,1,287
,Lamine Camara,,,
,,,,
,SEN,,,
,MF,,,
237,,0,1,287
,Ehsan Haddad,,,
,,,,
,JOR,,,
,DF,,,
238,,0,1,293
,Mateo Kovacic,,,
,,,,
,CRO,,,
,MF,,,
239,,0,1,295
,Ritsu Doan,,,
,,,,
,JPN,,,
,MF,,,
